date,open,high,low,close,volume
2007-07-20,6.3020,6.5440,6.2667,6.3373,287100
2007-07-23,6.5087,6.7003,6.4784,6.6498,283000
2007-07-24,6.6549,6.7053,6.5087,6.5742,181000
2007-07-25,6.6398,6.7305,6.5087,6.6246,154200
2007-07-26,6.5591,6.6549,6.0751,6.3272,384900
2007-07-27,6.2717,6.3020,5.6718,5.9743,309000
2007-07-30,5.9390,5.9894,5.7020,5.9894,195000
2007-07-31,6.0146,6.1003,5.8079,5.8936,101300
2007-08-01,5.7877,5.8886,5.5457,5.6516,228200
2007-08-02,5.6214,5.7928,5.6214,5.7676,100600
2007-08-03,5.6415,5.7272,5.5961,5.6113,98700
2007-08-06,5.6667,5.7272,5.2180,5.3693,206800
2007-08-07,5.2130,5.2836,4.5475,4.7492,354200
2007-08-08,4.7492,4.8621,4.2097,4.5122,621300
2007-08-09,4.4820,4.4820,4.1593,4.1744,568900
2007-08-10,4.1593,4.6635,3.9778,4.6584,541000
2007-08-13,4.7139,5.6264,4.7139,5.4046,521000
2007-08-14,5.4449,5.4550,5.2382,5.2987,138800
2007-08-15,5.2483,5.4550,5.2231,5.2684,98500
2007-08-16,5.2130,5.2130,4.5677,4.9004,320500
2007-08-17,5.0829,5.3370,4.8999,4.9609,144200
2007-08-20,5.0219,5.0575,4.9355,4.9863,111000
2007-08-21,5.0778,5.2283,5.0321,5.2252,100700
2007-08-22,5.2811,5.5302,5.2663,5.4997,168600
2007-08-23,5.5505,5.6878,5.3980,5.4489,137600
2007-08-24,5.4590,5.4590,5.2354,5.3167,164100
2007-08-27,5.3726,5.4873,5.1693,5.3523,88000
2007-08-28,5.3269,5.5759,5.2913,5.5099,144100
2007-08-29,5.5607,5.6928,5.5149,5.6522,160700
2007-08-30,5.5912,5.8606,5.5810,5.6928,72700
2007-08-31,5.7894,5.8352,5.6827,5.7488,84200
2007-09-04,5.8098,5.8962,5.6928,5.7081,253700
2007-09-05,5.6928,5.9775,5.6268,5.8606,119700
2007-09-06,5.9419,5.9978,5.8657,5.9826,133300
2007-09-07,5.0829,5.3116,4.9050,5.1236,419100
2007-09-10,5.0880,5.2506,4.8318,4.9355,326600
2007-09-11,4.9812,5.0778,4.8186,4.9406,367100
2007-09-12,4.9558,5.0321,4.8288,4.8847,118800
2007-09-13,4.8593,4.8847,4.5695,4.5695,244000
2007-09-14,4.5949,4.7881,4.3865,4.5289,342000
2007-09-17,4.4577,4.6458,4.4577,4.5238,281200
2007-09-18,4.5594,4.6763,4.5441,4.6102,304100
2007-09-19,4.6051,4.7474,4.6000,4.7220,146700
2007-09-20,4.6915,4.7678,4.5441,4.7373,101600
2007-09-21,4.7525,4.8033,4.7017,4.7576,172900
2007-09-24,4.7525,4.7525,4.5899,4.6610,174000
2007-09-25,4.6254,4.6813,4.5848,4.6559,95600
2007-09-26,4.6966,4.6966,4.5746,4.6509,98600
2007-09-27,4.6559,4.7881,4.6559,4.6966,138400
2007-09-28,4.7068,4.7423,4.6356,4.6763,87800
2007-10-01,4.6559,4.7576,4.5949,4.7576,122900
2007-10-02,4.7373,4.8268,4.6610,4.8135,115600
2007-10-03,4.8135,4.8135,4.6509,4.6559,109900
2007-10-04,4.6407,4.7779,4.5695,4.7627,101200
2007-10-05,4.7373,4.8236,4.6864,4.6915,138400
2007-10-08,4.7017,4.7017,4.6051,4.6051,114500
2007-10-09,4.6102,4.7271,4.6102,4.6813,120700
2007-10-10,4.7017,4.7169,4.6254,4.6305,87100
2007-10-11,4.6712,4.7068,4.5848,4.5899,90600
2007-10-12,4.5899,4.6712,4.5797,4.6407,73100
2007-10-15,4.6153,4.6915,4.5746,4.5899,97000
2007-10-16,4.5746,4.6458,4.4984,4.5187,63500
2007-10-17,4.5746,4.6559,4.5238,4.6000,129000
2007-10-18,4.6000,4.6559,4.5747,4.6356,39800
2007-10-19,4.6051,4.6051,4.4984,4.4984,45900
2007-10-22,4.4729,4.5085,4.3205,4.4069,96300
2007-10-23,4.4374,4.5187,4.4069,4.4425,62100
2007-10-24,4.4221,4.4628,4.2849,4.3662,106600
2007-10-25,4.3560,4.4679,4.2849,4.3459,80400
2007-10-26,4.4018,4.4018,4.2544,4.2595,117700
2007-10-29,4.2646,4.3154,4.1934,4.2036,113000
2007-10-30,4.1934,4.2391,4.0866,4.0968,126000
2007-10-31,4.0968,4.1629,3.9647,4.1222,212800
2007-11-01,3.9952,4.2239,3.9697,4.0663,167300
2007-11-02,4.0816,4.1375,4.0358,4.0765,87000
2007-11-05,4.0663,4.1121,4.0155,4.0206,74700
2007-11-06,4.0257,4.0663,3.9087,3.9596,110100
2007-11-07,3.9757,4.0991,3.8934,3.9016,103400
2007-11-08,3.9037,3.9345,3.7700,3.8163,80900
2007-11-09,3.8060,3.8831,3.7494,3.8111,117600
2007-11-12,3.7905,3.8574,3.7803,3.8523,59900
2007-11-13,3.8780,3.8780,3.7494,3.8368,85100
2007-11-14,3.8677,3.9243,3.7597,3.7751,65600
2007-11-15,3.7545,3.8060,3.7031,3.7288,43300
2007-11-16,3.7443,3.7596,3.6568,3.6671,68000
2007-11-19,3.6722,3.8163,3.6671,3.7340,79300
2007-11-20,3.7340,3.8008,3.6414,3.6620,58200
2007-11-21,3.6517,3.6517,3.6002,3.6157,61000
2007-11-23,3.6208,3.7854,3.5797,3.6362,58800
2007-11-26,3.6260,3.8214,3.6054,3.6105,216400
2007-11-27,3.6260,3.7545,3.6054,3.6105,114600
2007-11-28,3.6362,3.8163,3.6002,3.6157,185600
2007-11-29,3.6002,3.7391,3.6002,3.6877,131800
2007-11-30,3.7082,3.8111,3.6928,3.6980,243700
2007-12-03,3.7134,3.8677,3.6671,3.6671,100900
2007-12-04,3.6774,3.8008,3.6774,3.6928,47200
2007-12-05,3.7648,3.8574,3.7648,3.8163,63400
2007-12-06,3.8265,4.0220,3.8265,3.8831,122300
2007-12-07,4.3614,4.6289,4.2689,4.5826,281500
2007-12-10,4.5774,4.8860,4.5672,4.7883,136700
2007-12-11,4.8140,4.8860,4.4026,4.4437,133100
2007-12-12,4.5517,4.7009,4.4746,4.6083,193700
2007-12-13,4.5466,4.6186,4.4900,4.5363,76200
2007-12-14,4.5260,4.5723,4.5003,4.5054,78300
2007-12-17,4.5054,4.5774,4.2946,4.3151,137400
